CUT,Municipality,Province,Region,Health and social welfare,Economy and resources,Education,CDI,Ranking,Ranges,SVI,SPI
8109,Santa Juana,Concepción,Biobío,0.7077,0.0482,0.6423,0.2798,282,Bajo,0.934126647,
8110,Talcahuano,Concepción,Biobío,0.9259,0.2879,0.769,0.5896,15,Medio alto,0.857490925,
8111,Tomé,Concepción,Biobío,0.852,0.1584,0.633,0.4404,90,Medio,0.894545027,
8112,Hualpén,Concepción,Biobío,0.9191,0.1298,0.7545,0.4481,82,Medio,0.889450479,
8201,Lebu,Arauco,Biobío,0.8371,0.1438,0.6348,0.4244,102,Medio,0.906046303,
8202,Arauco,Arauco,Biobío,0.7777,0.1412,0.7678,0.4384,93,Medio,0.885294118,
8203,Cañete,Arauco,Biobío,0.7145,0.1126,0.6925,0.382,141,Medio bajo,0.921033843,
8204,Contulmo,Arauco,Biobío,0.6101,0.047,0.5998,0.2581,305,Bajo,0.941437445,
8205,Curanilahue,Arauco,Biobío,0.8606,0.1575,0.6577,0.4467,85,Medio,0.904602363,
8206,Los Álamos,Arauco,Biobío,0.7999,0.1223,0.6178,0.3924,130,Medio,0.940066069,
8207,Tirúa,Arauco,Biobío,0.4762,0.0419,0.5902,0.2275,324,Bajo,0.969846491,
8301,Los Ángeles,Biobío,Biobío,0.7343,0.1822,0.7751,0.4698,74,Medio,0.870016723,
8302,Antuco,Biobío,Biobío,0.7123,0.0477,0.5859,0.271,291,Bajo,0.905982906,
8303,Cabrero,Biobío,Biobío,0.8034,0.1222,0.6892,0.4074,120,Medio,0.909958506,
8304,Laja,Biobío,Biobío,0.7383,0.0831,0.6919,0.3488,196,Medio bajo,0.879638672,
8305,Mulchén,Biobío,Biobío,0.7739,0.1176,0.5975,0.3789,145,Medio bajo,0.932888619,
8306,Nacimiento,Biobío,Biobío,0.7796,0.1281,0.7069,0.4133,115,Medio,0.877882494,
8307,Negrete,Biobío,Biobío,0.7066,0.0534,0.6127,0.2848,275,Bajo,0.956097561,
8308,Quilaco,Biobío,Biobío,0.6459,0.0612,0.5833,0.2847,277,Bajo,0.966145833,
8309,Quilleco,Biobío,Biobío,0.6637,0.0422,0.5625,0.2506,311,Bajo,0.941612604,
8310,San Rosendo,Biobío,Biobío,0.7201,0.2809,0.6195,0.5004,58,Medio alto,0.916149068,
8311,Santa Bárbara,Biobío,Biobío,0.7053,0.1037,0.577,0.3481,198,Medio bajo,0.93967323,
8312,Tucapel,Biobío,Biobío,0.8143,0.0982,0.6361,0.3706,160,Medio bajo,0.932806324,
8313,Yumbel,Biobío,Biobío,0.6763,0.0689,0.6493,0.3116,238,Medio bajo,0.903410806,
8314,Alto Biobío,Biobío,Biobío,0.2206,0.0369,0.489,0.1584,341,Bajo,0.979945305,
9101,Temuco,Cautín,Araucanía,0.8872,0.2995,0.7939,0.5953,14,Medio alto,0.860311189,
9102,Carahue,Cautín,Araucanía,0.5831,0.0524,0.6181,0.2662,294,Bajo,0.947543714,
9103,Cunco,Cautín,Araucanía,0.6375,0.0441,0.6348,0.2612,299,Bajo,0.944801896,
9104,Curarrehue,Cautín,Araucanía,0.4646,0.0403,0.5738,0.2207,327,Bajo,0.95462963,
9105,Freire,Cautín,Araucanía,0.4792,0.0535,0.6172,0.2511,308,Bajo,0.962819269,
9106,Galvarino,Cautín,Araucanía,0.314,0.0398,0.5742,0.1928,337,Bajo,0.96812933,
9107,Gorbea,Cautín,Araucanía,0.7458,0.0853,0.586,0.3341,212,Medio bajo,0.936443149,
9108,Lautaro,Cautín,Araucanía,0.7198,0.117,0.6239,0.3746,149,Medio bajo,0.924240062,
9109,Loncoche,Cautín,Araucanía,0.6645,0.0709,0.6871,0.3187,230,Medio bajo,0.933084511,
9110,Melipeuco,Cautín,Araucanía,0.6065,0.0261,0.6086,0.2127,329,Bajo,0.952481521,
9111,Nueva Imperial,Cautín,Araucanía,0.6756,0.0674,0.6605,0.311,240,Medio bajo,0.945042584,
9112,Padre Las Casas,Cautín,Araucanía,0.6557,0.0777,0.6142,0.3152,234,Medio bajo,0.94536982,
9113,Perquenco,Cautín,Araucanía,0.6612,0.0517,0.6008,0.2739,288,Bajo,0.966929134,
9114,Pitrufquén,Cautín,Araucanía,0.7678,0.0788,0.7017,0.3488,195,Medio bajo,0.912552156,
9115,Pucón,Cautín,Araucanía,0.7521,0.1279,0.695,0.4059,121,Medio,0.884449667,
9116,Saavedra,Cautín,Araucanía,0.3374,0.0283,0.5742,0.1764,340,Bajo,0.967849224,
9117,Teodoro Schmidt,Cautín,Araucanía,0.4981,0.0388,0.6051,0.227,325,Bajo,0.956061408,
9118,Toltén,Cautín,Araucanía,0.4151,0.0467,0.6009,0.2266,326,Bajo,0.950870647,
9119,Vilcún,Cautín,Araucanía,0.5578,0.0496,0.6596,0.2633,297,Bajo,0.936276551,
9120,Villarrica,Cautín,Araucanía,0.73,0.1215,0.7848,0.4113,118,Medio,0.898045738,
9121,Cholchol,Cautín,Araucanía,0.3722,0.0288,0.5922,0.1851,338,Bajo,0.965301003,
9201,Angol,Malleco,Araucanía,0.8443,0.1347,0.7862,0.4471,84,Medio,0.892016931,
9202,Collipulli,Malleco,Araucanía,0.7038,0.1156,0.6379,0.373,156,Medio bajo,0.933121019,
9203,Curacautín,Malleco,Araucanía,0.7943,0.0733,0.575,0.3222,228,Medio bajo,0.91838843,
9204,Ercilla,Malleco,Araucanía,0.492,0.0328,0.5852,0.2115,330,Bajo,0.972437554,
9205,Lonquimay,Malleco,Araucanía,0.3793,0.0425,0.536,0.2053,333,Bajo,0.952355171,
9206,Los Sauces,Malleco,Araucanía,0.6115,0.0412,0.6013,0.2475,314,Bajo,0.968518519,
9207,Lumaco,Malleco,Araucanía,0.4588,0.0397,0.5478,0.2152,328,Bajo,0.969334331,
9208,Purén,Malleco,Araucanía,0.7115,0.0559,0.5898,0.2863,274,Medio bajo,0.935483871,
9209,Renaico,Malleco,Araucanía,0.7853,0.0667,0.5733,0.3108,241,Medio bajo,0.942137509,
9210,Traiguén,Malleco,Araucanía,0.712,0.0888,0.6792,0.3502,191,Medio bajo,0.924992588,
9211,Victoria,Malleco,Araucanía,0.7142,0.154,0.6694,0.4191,108,Medio,0.895302229,
14101,Valdivia,Valdivia,Los Ríos,0.8865,0.2524,0.7826,0.5594,25,Medio alto,0.851161228,
14102,Corral,Valdivia,Los Ríos,0.5438,0.0745,0.5704,0.2848,276,Bajo,0.913770914,
14103,Lanco,Valdivia,Los Ríos,0.7211,0.095,0.6236,0.3495,193,Medio bajo,0.94486561,
14104,Los Lagos,Valdivia,Los Ríos,0.6021,0.0874,0.6045,0.3168,232,Medio bajo,0.913957935,
14105,Máfil,Valdivia,Los Ríos,0.6808,0.0985,0.6145,0.3455,202,Medio bajo,0.945064378,
14106,Mariquina,Valdivia,Los Ríos,0.6875,0.085,0.6385,0.3341,211,Medio bajo,0.934410869,
14107,Paillaco,Valdivia,Los Ríos,0.7143,0.1011,0.661,0.3628,170,Medio bajo,0.922413793,
14108,Panguipulli,Valdivia,Los Ríos,0.5485,0.1033,0.677,0.3372,208,Medio bajo,0.928478544,
14201,La Unión,Ranco,Los Ríos,0.7308,0.1373,0.7898,0.4295,97,Medio,0.920707359,
14202,Futrono,Ranco,Los Ríos,0.6722,0.0678,0.6551,0.3102,244,Medio bajo,0.94248072,
14203,Lago Ranco,Ranco,Los Ríos,0.5893,0.0471,0.6007,0.2555,306,Bajo,0.940561724,
14204,Río Bueno,Ranco,Los Ríos,0.646,0.1161,0.6801,0.3709,159,Medio bajo,0.920506434,
10101,Puerto Montt,Llanquihue,Los Lagos,0.8594,0.2419,0.7703,0.543,35,Medio alto,0.840661863,
10102,Calbuco,Llanquihue,Los Lagos,0.6232,0.083,0.6603,0.3244,224,Medio bajo,0.888738357,
10103,Cochamó,Llanquihue,Los Lagos,0.3982,0.0524,0.5877,0.2306,323,Bajo,0.911819887,
10104,Fresia,Llanquihue,Los Lagos,0.6491,0.0613,0.6088,0.2894,271,Medio bajo,0.929125711,
10105,Frutillar,Llanquihue,Los Lagos,0.8002,0.1259,0.7362,0.4201,106,Medio,0.918511685,
10106,Los Muermos,Llanquihue,Los Lagos,0.5861,0.066,0.6259,0.2894,272,Medio bajo,0.911111111,
10107,Llanquihue,Llanquihue,Los Lagos,0.8024,0.1207,0.6266,0.393,129,Medio,0.905364152,
10108,Maullín,Llanquihue,Los Lagos,0.6792,0.0517,0.5889,0.2745,287,Bajo,0.927123288,
10109,Puerto Varas,Llanquihue,Los Lagos,0.79,0.2187,0.7759,0.5118,52,Medio alto,0.875563426,
10201,Castro,Chiloé,Los Lagos,0.8104,0.195,0.7076,0.4818,65,Medio,0.815899135,
10202,Ancud,Chiloé,Los Lagos,0.6989,0.1478,0.7046,0.4175,113,Medio,0.897453544,
10203,Chonchi,Chiloé,Los Lagos,0.596,0.1049,0.7047,0.3532,187,Medio bajo,0.914274924,
10204,Curaco de Vélez,Chiloé,Los Lagos,0.5582,0.0599,0.5832,0.2692,293,Bajo,0.919064748,
10205,Dalcahue,Chiloé,Los Lagos,0.5853,0.1051,0.596,0.3322,215,Medio bajo,0.913928737,
10206,Puqueldón,Chiloé,Los Lagos,0.4572,0.0546,0.6121,0.2481,313,Bajo,0.894988067,
10207,Queilén,Chiloé,Los Lagos,0.4764,0.0973,0.5961,0.3023,253,Medio bajo,0.917293233,
10208,Quellón,Chiloé,Los Lagos,0.6246,0.1146,0.6645,0.3623,171,Medio bajo,0.888700565,
10209,Quemchi,Chiloé,Los Lagos,0.4429,0.0698,0.6004,0.2648,295,Bajo,0.908571429,
10210,Quinchao,Chiloé,Los Lagos,0.4733,0.0723,0.7351,0.293,265,Medio bajo,0.866628506,
10301,Osorno,Osorno,Los Lagos,0.894,0.2485,0.7974,0.5617,23,Medio alto,0.885454333,
10302,Puerto Octay,Osorno,Los Lagos,0.569,0.0687,0.6385,0.2922,267,Medio bajo,0.940436242,
10303,Purranque,Osorno,Los Lagos,0.7885,0.1108,0.668,0.3879,135,Medio,0.919765739,
10304,Puyehue,Osorno,Los Lagos,0.704,0.0816,0.616,0.3283,217,Medio bajo,0.935483871,
10305,Río Negro,Osorno,Los Lagos,0.6618,0.0963,0.6659,0.3488,194,Medio bajo,0.951954781,
10306,San Juan de la Costa,Osorno,Los Lagos,0.1866,0.0222,0.6057,0.1359,343,Bajo,0.975565611,
10307,San Pablo,Osorno,Los Lagos,0.5825,0.0777,0.6352,0.3064,249,Medio bajo,0.959331881,
10401,Chaitén,Palena,Los Lagos,0.6078,0.1127,0.5693,0.3392,206,Medio bajo,0.848942598,
10402,Futaleufú,Palena,Los Lagos,0.744,0.2077,0.6154,0.4565,78,Medio,0.826923077,
10403,Hualaihué,Palena,Los Lagos,0.4822,0.0708,0.6542,0.2816,279,Bajo,0.92433414,
10404,Palena,Palena,Los Lagos,0.7006,0.1676,0.6279,0.4193,107,Medio,0.870445344,
11101,Coyhaique,Coyhaique,Aysén,0.9103,0.2167,0.6807,0.512,50,Medio alto,0.798284795,
11102,Lago Verde,Coyhaique,Aysén,0.7478,0.0787,0.5092,0.3106,243,Medio bajo,0.942028986,
11201,Aysén,Aysén,Aysén,0.8844,0.1904,0.6791,0.4854,63,Medio,0.860354518,
11202,Cisnes,Aysén,Aysén,0.8677,0.2004,0.6225,0.4766,70,Medio,0.891025641,
11203,Guaitecas,Aysén,Aysén,0.8524,0.1204,0.6505,0.4057,123,Medio,0.868312757,
11301,Cochrane,Capitán Prat,Aysén,0.8613,0.1415,0.5974,0.4176,112,Medio,0.839344262,
11302,O'Higgins,Capitán Prat,Aysén,0.7503,0.0871,0.569,0.3338,213,Medio bajo,0.857142857,
11303,Tortel,Capitán Prat,Aysén,0.5835,0.1154,0.6581,0.3538,186,Medio bajo,0.849315068,
11401,Chile Chico,General Carrera,Aysén,0.8842,0.1216,0.5821,0.397,127,Medio,0.84764208,
11402,Río Ibáñez,General Carrera,Aysén,0.8124,0.1112,0.5461,0.3668,163,Medio bajo,0.907894737,
12101,Punta Arenas,Magallanes,Magallanes,0.9538,0.2726,0.7581,0.5819,18,Medio alto,0.80257242,
12102,Laguna Blanca,Magallanes,Magallanes,0.6882,0.1523,0.5121,0.3772,147,Medio bajo,0.9375,
12103,Río Verde,Magallanes,Magallanes,0.5461,0.0417,0.0263,0.0844,344,Bajo,0.727272727,
12104,San Gregorio,Magallanes,Magallanes,0.6851,0.0564,0.6406,0.2914,270,Medio bajo,0.823529412,
12201,Cabo de Hornos,Antártica Chilena,Magallanes,0.9537,0.0766,0.642,0.3606,174,Medio bajo,0.668449198,
12202,Antártica,Antártica Chilena,Magallanes,,,,,,,,
12301,Porvenir,Tierra del Fuego,Magallanes,0.9243,0.1707,0.6133,0.4592,77,Medio,0.772380952,
12302,Primavera,Tierra del Fuego,Magallanes,0.6325,0.1962,0.6139,0.4239,103,Medio,0.739130435,
12303,Timaukel,Tierra del Fuego,Magallanes,0.6341,0.0658,0.001,0.0347,345,Bajo,0.8125,
12401,Puerto Natales,Última Esperanza,Magallanes,0.9449,0.2045,0.676,0.5074,54,Medio alto,0.824088748,
12402,Torres del Paine,Última Esperanza,Magallanes,0.6592,0.064,0.5259,0.281,280,Bajo,0.774193548,
13101,Santiago,Santiago,Metropolitana,0.8953,0.635,0.8276,0.7778,3,Alto,0.737739872,0.5711
13102,Cerrillos,Santiago,Metropolitana,0.9331,0.1915,0.6529,0.4886,62,Medio alto,0.82676399,0.6436
13103,Cerro Navia,Santiago,Metropolitana,0.8996,0.0942,0.6143,0.3734,154,Medio bajo,0.894555531,0.8104
13104,Conchalí,Santiago,Metropolitana,0.917,0.1731,0.6389,0.4663,76,Medio,0.812371738,0.7706
13105,El Bosque,Santiago,Metropolitana,0.9162,0.1409,0.7226,0.4535,80,Medio,0.877914952,0.7463
13106,Estación Central,Santiago,Metropolitana,0.9071,0.2277,0.7197,0.5298,44,Medio alto,0.765989042,0.6989
13107,Huechuraba,Santiago,Metropolitana,0.9287,0.267,0.7195,0.563,22,Medio alto,0.903510259,0.5806
13108,Independencia,Santiago,Metropolitana,0.9146,0.2308,0.7471,0.5403,36,Medio alto,0.751712763,0.7136
13109,La Cisterna,Santiago,Metropolitana,0.8781,0.2436,0.7798,0.5505,30,Medio alto,0.804363997,0.6693
13110,La Florida,Santiago,Metropolitana,0.9535,0.2838,0.7545,0.5888,16,Medio alto,0.765537582,0.5928
13111,La Granja,Santiago,Metropolitana,0.9359,0.1284,0.6462,0.4266,100,Medio,0.896456007,0.7014
13112,La Pintana,Santiago,Metropolitana,0.8924,0.0842,0.6228,0.3604,175,Medio bajo,0.934021274,0.8303
13113,La Reina,Santiago,Metropolitana,0.97,0.2823,0.8186,0.6074,11,Medio alto,0.756255044,0.3248
13114,Las Condes,Santiago,Metropolitana,0.9926,0.78,0.866,0.8752,2,Alto,0.701891357,0.1168
13115,Lo Barnechea,Santiago,Metropolitana,0.945,0.4029,0.816,0.6773,5,Alto,0.862908259,0.32
13116,Lo Espejo,Santiago,Metropolitana,0.9168,0.1088,0.5995,0.391,133,Medio,0.907811634,0.8178
13117,Lo Prado,Santiago,Metropolitana,0.9103,0.1177,0.6231,0.4057,122,Medio,0.844320487,0.7554
13118,Macul,Santiago,Metropolitana,0.9245,0.2374,0.7365,0.5448,33,Medio alto,0.752886836,0.5502
13119,Maipú,Santiago,Metropolitana,0.9695,0.2817,0.7793,0.597,13,Medio alto,0.765520608,0.5839
13120,Ñuñoa,Santiago,Metropolitana,0.9681,0.3601,0.8254,0.6602,7,Alto,0.748343469,0.3736
13121,Pedro Aguirre Cerda,Santiago,Metropolitana,0.9207,0.1749,0.6387,0.4685,75,Medio,0.869008841,0.6949
13122,Peñalolén,Santiago,Metropolitana,0.9298,0.2156,0.7421,0.5299,43,Medio alto,0.872001142,0.6412
13123,Providencia,Santiago,Metropolitana,0.9847,0.7764,0.878,0.8756,1,Alto,0.693121693,0.2663
13124,Pudahuel,Santiago,Metropolitana,0.9094,0.2498,0.7401,0.5519,29,Medio alto,0.857092642,0.6505
13125,Quilicura,Santiago,Metropolitana,0.9486,0.2669,0.7574,0.5767,20,Medio alto,0.786617539,0.5601
13126,Quinta Normal,Santiago,Metropolitana,0.938,0.246,0.6731,0.5375,41,Medio alto,0.795033557,0.7023
13127,Recoleta,Santiago,Metropolitana,0.9023,0.2311,0.7463,0.5379,39,Medio alto,0.804904369,0.7384
13128,Renca,Santiago,Metropolitana,0.9395,0.1728,0.6734,0.4782,68,Medio,0.875485828,0.6853
13129,San Joaquín,Santiago,Metropolitana,0.9153,0.1849,0.6196,0.4715,72,Medio,0.815093031,0.7516
13130,San Miguel,Santiago,Metropolitana,0.9452,0.306,0.7774,0.6081,10,Medio alto,0.740205441,0.5334
13131,San Ramón,Santiago,Metropolitana,0.9345,0.1392,0.6509,0.4392,92,Medio,0.880157845,0.8028
13132,Vitacura,Santiago,Metropolitana,0.9946,0.4982,0.9002,0.7641,4,Alto,0.587560163,0.0626
13201,Puente Alto,Cordillera,Metropolitana,0.9457,0.2179,0.7589,0.5388,38,Medio alto,0.825111895,0.6427
13202,Pirque,Cordillera,Metropolitana,0.8501,0.0926,0.6734,0.3756,148,Medio bajo,0.884482095,0.6612
13203,San José de Maipo,Cordillera,Metropolitana,0.6855,0.1182,0.6413,0.3732,155,Medio bajo,0.834208224,0.7452
13301,Colina,Chacabuco,Metropolitana,0.8855,0.2007,0.783,0.5182,48,Medio alto,0.855852356,0.6437
13302,Lampa,Chacabuco,Metropolitana,0.8442,0.1708,0.6154,0.4461,86,Medio,0.840838797,0.7085
13303,Tiltil,Chacabuco,Metropolitana,0.8052,0.1107,0.5868,0.374,151,Medio bajo,0.817438692,0.7121
13401,San Bernardo,Maipo,Metropolitana,0.9137,0.2129,0.7227,0.52,46,Medio alto,0.854619536,0.7514
13402,Buin,Maipo,Metropolitana,0.891,0.1671,0.7361,0.4785,67,Medio,0.879761991,0.7577
13403,Calera de Tango,Maipo,Metropolitana,0.8458,0.1436,0.7086,0.4415,88,Medio,0.899309342,0.6434
13404,Paine,Maipo,Metropolitana,0.8682,0.1154,0.7316,0.4185,109,Medio,0.855332787,0.7591
13501,Melipilla,Melipilla,Metropolitana,0.8684,0.1199,0.7241,0.4225,104,Medio,0.880685564,0.758
13502,Alhué,Melipilla,Metropolitana,0.8367,0.0551,0.5543,0.2945,263,Medio bajo,0.784332689,0.709
13503,Curacaví,Melipilla,Metropolitana,0.8307,0.0943,0.7158,0.3827,139,Medio bajo,0.874049946,0.7739
13504,María Pinto,Melipilla,Metropolitana,0.8408,0.0597,0.5803,0.3076,247,Medio bajo,0.925042589,0.7824
13505,San Pedro,Melipilla,Metropolitana,0.5489,0.0572,0.5619,0.2603,301,Bajo,0.88856305,0.6875
13601,Talagante,Talagante,Metropolitana,0.8805,0.1489,0.7949,0.4706,73,Medio,0.836931818,0.6845
13602,El Monte,Talagante,Metropolitana,0.8649,0.0854,0.5909,0.3522,188,Medio bajo,0.914556962,0.7685
13603,Isla de Maipo,Talagante,Metropolitana,0.8313,0.0907,0.6366,0.3634,169,Medio bajo,0.867647059,0.8028
13604,Padre Hurtado,Talagante,Metropolitana,0.8551,0.1419,0.7037,0.4403,91,Medio,0.827453496,0.7537
13605,Peñaflor,Talagante,Metropolitana,0.9222,0.1747,0.7078,0.485,64,Medio,0.841463415,0.6899
