CUT,Municipality,Province,Region,Metropolitan_Area,Health and social welfare,Economy and resources,Education,CDI,Ranking,Ranges,SVI,SPI,Poverty,Multidimensional poverty,PHLBS
14103,Lanco,Valdivia,Los Ríos,No_Metropolitan_Area,0.7211,0.095,0.6236,0.3495,193,Medio bajo,0.94486561,,0.1918,0.2579,0.187
14104,Los Lagos,Valdivia,Los Ríos,No_Metropolitan_Area,0.6021,0.0874,0.6045,0.3168,232,Medio bajo,0.913957935,,0.1549,0.2953,0.497
14105,Máfil,Valdivia,Los Ríos,No_Metropolitan_Area,0.6808,0.0985,0.6145,0.3455,202,Medio bajo,0.945064378,,0.1256,0.298,0.307
14106,Mariquina,Valdivia,Los Ríos,No_Metropolitan_Area,0.6875,0.085,0.6385,0.3341,211,Medio bajo,0.934410869,,0.1563,0.2405,0.307
14107,Paillaco,Valdivia,Los Ríos,No_Metropolitan_Area,0.7143,0.1011,0.661,0.3628,170,Medio bajo,0.922413793,,0.1913,0.2525,0.229
14108,Panguipulli,Valdivia,Los Ríos,No_Metropolitan_Area,0.5485,0.1033,0.677,0.3372,208,Medio bajo,0.928478544,,0.147,0.3258,0.582
14201,La Unión,Ranco,Los Ríos,No_Metropolitan_Area,0.7308,0.1373,0.7898,0.4295,97,Medio,0.920707359,,0.1335,0.2447,0.297
14202,Futrono,Ranco,Los Ríos,No_Metropolitan_Area,0.6722,0.0678,0.6551,0.3102,244,Medio bajo,0.94248072,,0.1407,0.3293,0.409
14203,Lago Ranco,Ranco,Los Ríos,No_Metropolitan_Area,0.5893,0.0471,0.6007,0.2555,306,Bajo,0.940561724,,0.1462,0.3772,0.367
14204,Río Bueno,Ranco,Los Ríos,No_Metropolitan_Area,0.646,0.1161,0.6801,0.3709,159,Medio bajo,0.920506434,,0.1644,0.3007,0.397
10101,Puerto Montt,Llanquihue,Los Lagos,No_Metropolitan_Area,0.8594,0.2419,0.7703,0.543,35,Medio alto,0.840661863,,0.1142,0.2034,0.129
10102,Calbuco,Llanquihue,Los Lagos,No_Metropolitan_Area,0.6232,0.083,0.6603,0.3244,224,Medio bajo,0.888738357,,0.1347,0.411,0.549
10103,Cochamó,Llanquihue,Los Lagos,No_Metropolitan_Area,0.3982,0.0524,0.5877,0.2306,323,Bajo,0.911819887,,0.1359,0.3415,0.77
10104,Fresia,Llanquihue,Los Lagos,No_Metropolitan_Area,0.6491,0.0613,0.6088,0.2894,271,Medio bajo,0.929125711,,0.1804,0.326,0.375
10105,Frutillar,Llanquihue,Los Lagos,No_Metropolitan_Area,0.8002,0.1259,0.7362,0.4201,106,Medio,0.918511685,,0.1036,0.264,0.136
10106,Los Muermos,Llanquihue,Los Lagos,No_Metropolitan_Area,0.5861,0.066,0.6259,0.2894,272,Medio bajo,0.911111111,,0.1041,0.3426,0.438
10107,Llanquihue,Llanquihue,Los Lagos,No_Metropolitan_Area,0.8024,0.1207,0.6266,0.393,129,Medio,0.905364152,,0.1369,0.2131,0.138
10108,Maullín,Llanquihue,Los Lagos,No_Metropolitan_Area,0.6792,0.0517,0.5889,0.2745,287,Bajo,0.927123288,,0.1635,0.3076,0.315
10109,Puerto Varas,Llanquihue,Los Lagos,No_Metropolitan_Area,0.79,0.2187,0.7759,0.5118,52,Medio alto,0.875563426,,0.0587,0.2109,0.196
10201,Castro,Chiloé,Los Lagos,No_Metropolitan_Area,0.8104,0.195,0.7076,0.4818,65,Medio,0.815899135,,0.1013,0.2323,0.207
10202,Ancud,Chiloé,Los Lagos,No_Metropolitan_Area,0.6989,0.1478,0.7046,0.4175,113,Medio,0.897453544,,0.1452,0.2504,0.367
10203,Chonchi,Chiloé,Los Lagos,No_Metropolitan_Area,0.596,0.1049,0.7047,0.3532,187,Medio bajo,0.914274924,,0.1278,0.3446,0.507
10204,Curaco de Vélez,Chiloé,Los Lagos,No_Metropolitan_Area,0.5582,0.0599,0.5832,0.2692,293,Bajo,0.919064748,,0.1381,0.3156,0.458
10205,Dalcahue,Chiloé,Los Lagos,No_Metropolitan_Area,0.5853,0.1051,0.596,0.3322,215,Medio bajo,0.913928737,,0.116,0.253,0.569
10206,Puqueldón,Chiloé,Los Lagos,No_Metropolitan_Area,0.4572,0.0546,0.6121,0.2481,313,Bajo,0.894988067,,0.1382,0.3865,0.751
10207,Queilén,Chiloé,Los Lagos,No_Metropolitan_Area,0.4764,0.0973,0.5961,0.3023,253,Medio bajo,0.917293233,,0.198,0.4126,0.527
10208,Quellón,Chiloé,Los Lagos,No_Metropolitan_Area,0.6246,0.1146,0.6645,0.3623,171,Medio bajo,0.888700565,,0.1312,0.3629,0.5
10209,Quemchi,Chiloé,Los Lagos,No_Metropolitan_Area,0.4429,0.0698,0.6004,0.2648,295,Bajo,0.908571429,,0.2032,0.398,0.655
10210,Quinchao,Chiloé,Los Lagos,No_Metropolitan_Area,0.4733,0.0723,0.7351,0.293,265,Medio bajo,0.866628506,,0.2696,0.4336,0.573
10301,Osorno,Osorno,Los Lagos,No_Metropolitan_Area,0.894,0.2485,0.7974,0.5617,23,Medio alto,0.885454333,,0.0852,0.2203,0.081
10302,Puerto Octay,Osorno,Los Lagos,No_Metropolitan_Area,0.569,0.0687,0.6385,0.2922,267,Medio bajo,0.940436242,,0.14,0.2743,0.464
10303,Purranque,Osorno,Los Lagos,No_Metropolitan_Area,0.7885,0.1108,0.668,0.3879,135,Medio,0.919765739,,0.1123,0.2953,0.153
10304,Puyehue,Osorno,Los Lagos,No_Metropolitan_Area,0.704,0.0816,0.616,0.3283,217,Medio bajo,0.935483871,,0.1219,0.3011,0.175
10305,Río Negro,Osorno,Los Lagos,No_Metropolitan_Area,0.6618,0.0963,0.6659,0.3488,194,Medio bajo,0.951954781,,0.1531,0.2793,0.347
10306,San Juan de la Costa,Osorno,Los Lagos,No_Metropolitan_Area,0.1866,0.0222,0.6057,0.1359,343,Bajo,0.975565611,,0.3214,0.5332,0.86
10307,San Pablo,Osorno,Los Lagos,No_Metropolitan_Area,0.5825,0.0777,0.6352,0.3064,249,Medio bajo,0.959331881,,0.1661,0.3161,0.408
10401,Chaitén,Palena,Los Lagos,No_Metropolitan_Area,0.6078,0.1127,0.5693,0.3392,206,Medio bajo,0.848942598,,0.1217,0.267,0.407
10402,Futaleufú,Palena,Los Lagos,No_Metropolitan_Area,0.744,0.2077,0.6154,0.4565,78,Medio,0.826923077,,0.1071,0.2872,0.259
10403,Hualaihué,Palena,Los Lagos,No_Metropolitan_Area,0.4822,0.0708,0.6542,0.2816,279,Bajo,0.92433414,,0.1699,0.2942,0.837
10404,Palena,Palena,Los Lagos,No_Metropolitan_Area,0.7006,0.1676,0.6279,0.4193,107,Medio,0.870445344,,0.0996,0.2394,0.335
11101,Coyhaique,Coyhaique,Aysén,No_Metropolitan_Area,0.9103,0.2167,0.6807,0.512,50,Medio alto,0.798284795,,0.0278,0.1812,0.088
11102,Lago Verde,Coyhaique,Aysén,No_Metropolitan_Area,0.7478,0.0787,0.5092,0.3106,243,Medio bajo,0.942028986,,0.1204,0.2496,0.355
11201,Aysén,Aysén,Aysén,No_Metropolitan_Area,0.8844,0.1904,0.6791,0.4854,63,Medio,0.860354518,,0.0681,0.1936,0.118
11202,Cisnes,Aysén,Aysén,No_Metropolitan_Area,0.8677,0.2004,0.6225,0.4766,70,Medio,0.891025641,,0.065,0.1771,0.118
11203,Guaitecas,Aysén,Aysén,No_Metropolitan_Area,0.8524,0.1204,0.6505,0.4057,123,Medio,0.868312757,,0.122,0.2377,0.2
11301,Cochrane,Capitán Prat,Aysén,No_Metropolitan_Area,0.8613,0.1415,0.5974,0.4176,112,Medio,0.839344262,,0.0588,0.2182,0.126
11302,O'Higgins,Capitán Prat,Aysén,No_Metropolitan_Area,0.7503,0.0871,0.569,0.3338,213,Medio bajo,0.857142857,,0.0821,0.2486,0.218
11303,Tortel,Capitán Prat,Aysén,No_Metropolitan_Area,0.5835,0.1154,0.6581,0.3538,186,Medio bajo,0.849315068,,0.1446,0.273,0.622
11401,Chile Chico,General Carrera,Aysén,No_Metropolitan_Area,0.8842,0.1216,0.5821,0.397,127,Medio,0.84764208,,0.0526,0.2014,0.098
11402,Río Ibáñez,General Carrera,Aysén,No_Metropolitan_Area,0.8124,0.1112,0.5461,0.3668,163,Medio bajo,0.907894737,,0.0655,0.2688,0.154
12101,Punta Arenas,Magallanes,Magallanes,No_Metropolitan_Area,0.9538,0.2726,0.7581,0.5819,18,Medio alto,0.80257242,,0.0207,0.1026,0.052
12102,Laguna Blanca,Magallanes,Magallanes,No_Metropolitan_Area,0.6882,0.1523,0.5121,0.3772,147,Medio bajo,0.9375,,0.0293,0.0266,0.267
12103,Río Verde,Magallanes,Magallanes,No_Metropolitan_Area,0.5461,0.0417,0.0263,0.0844,344,Bajo,0.727272727,,0.0072,0.0902,0.417
12104,San Gregorio,Magallanes,Magallanes,No_Metropolitan_Area,0.6851,0.0564,0.6406,0.2914,270,Medio bajo,0.823529412,,0.0134,0.0583,0.151
12201,Cabo de Hornos,Antártica Chilena,Magallanes,No_Metropolitan_Area,0.9537,0.0766,0.642,0.3606,174,Medio bajo,0.668449198,,0.0295,0.1458,0.039
12202,Antártica,Antártica Chilena,Magallanes,No_Metropolitan_Area,,,,,,,,,,,
12301,Porvenir,Tierra del Fuego,Magallanes,No_Metropolitan_Area,0.9243,0.1707,0.6133,0.4592,77,Medio,0.772380952,,0.021,0.0829,0.055
12302,Primavera,Tierra del Fuego,Magallanes,No_Metropolitan_Area,0.6325,0.1962,0.6139,0.4239,103,Medio,0.739130435,,0.0233,0.0817,0.31
12303,Timaukel,Tierra del Fuego,Magallanes,No_Metropolitan_Area,0.6341,0.0658,0.001,0.0347,345,Bajo,0.8125,,0.004,0.0062,0.369
12401,Puerto Natales,Última Esperanza,Magallanes,No_Metropolitan_Area,0.9449,0.2045,0.676,0.5074,54,Medio alto,0.824088748,,0.0233,0.1414,0.051
12402,Torres del Paine,Última Esperanza,Magallanes,No_Metropolitan_Area,0.6592,0.064,0.5259,0.281,280,Bajo,0.774193548,,0.0032,0.0181,0.083
13301,Colina,Chacabuco,Metropolitana,No_Metropolitan_Area,0.8855,0.2007,0.783,0.5182,48,Medio alto,0.855852356,0.6437,0.064,0.2546,0.098
13302,Lampa,Chacabuco,Metropolitana,No_Metropolitan_Area,0.8442,0.1708,0.6154,0.4461,86,Medio,0.840838797,0.7085,0.0361,0.2576,0.205
13303,Tiltil,Chacabuco,Metropolitana,No_Metropolitan_Area,0.8052,0.1107,0.5868,0.374,151,Medio bajo,0.817438692,0.7121,0.0679,0.2367,0.172
13201,Puente Alto,Cordillera,Metropolitana,Metropolitan_Area,0.9457,0.2179,0.7589,0.5388,38,Medio alto,0.825111895,0.6427,0.0729,0.2331,0.019
13202,Pirque,Cordillera,Metropolitana,No_Metropolitan_Area,0.8501,0.0926,0.6734,0.3756,148,Medio bajo,0.884482095,0.6612,0.0475,0.2033,0.123
13203,San José de Maipo,Cordillera,Metropolitana,No_Metropolitan_Area,0.6855,0.1182,0.6413,0.3732,155,Medio bajo,0.834208224,0.7452,0.0599,0.2399,0.437
13401,San Bernardo,Maipo,Metropolitana,Metropolitan_Area,0.9137,0.2129,0.7227,0.52,46,Medio alto,0.854619536,0.7514,0.0942,0.2607,0.055
13402,Buin,Maipo,Metropolitana,No_Metropolitan_Area,0.891,0.1671,0.7361,0.4785,67,Medio,0.879761991,0.7577,0.0804,0.2493,0.09
13403,Calera de Tango,Maipo,Metropolitana,No_Metropolitan_Area,0.8458,0.1436,0.7086,0.4415,88,Medio,0.899309342,0.6434,0.0353,0.2206,0.173
13404,Paine,Maipo,Metropolitana,No_Metropolitan_Area,0.8682,0.1154,0.7316,0.4185,109,Medio,0.855332787,0.7591,0.0424,0.2233,0.159
13501,Melipilla,Melipilla,Metropolitana,No_Metropolitan_Area,0.8684,0.1199,0.7241,0.4225,104,Medio,0.880685564,0.758,0.0517,0.2492,0.207
13502,Alhué,Melipilla,Metropolitana,No_Metropolitan_Area,0.8367,0.0551,0.5543,0.2945,263,Medio bajo,0.784332689,0.709,0.0671,0.2028,0.197
13503,Curacaví,Melipilla,Metropolitana,No_Metropolitan_Area,0.8307,0.0943,0.7158,0.3827,139,Medio bajo,0.874049946,0.7739,0.0744,0.2255,0.148
13504,María Pinto,Melipilla,Metropolitana,No_Metropolitan_Area,0.8408,0.0597,0.5803,0.3076,247,Medio bajo,0.925042589,0.7824,0.108,0.3314,0.189
13505,San Pedro,Melipilla,Metropolitana,No_Metropolitan_Area,0.5489,0.0572,0.5619,0.2603,301,Bajo,0.88856305,0.6875,0.0927,0.3184,0.615
13101,Santiago,Santiago,Metropolitana,Metropolitan_Area,0.8953,0.635,0.8276,0.7778,3,Alto,0.737739872,0.5711,0.0408,0.0963,0.173
13102,Cerrillos,Santiago,Metropolitana,Metropolitan_Area,0.9331,0.1915,0.6529,0.4886,62,Medio alto,0.82676399,0.6436,0.0648,0.2742,0.06
13103,Cerro Navia,Santiago,Metropolitana,Metropolitan_Area,0.8996,0.0942,0.6143,0.3734,154,Medio bajo,0.894555531,0.8104,0.0759,0.3464,0.127
13104,Conchalí,Santiago,Metropolitana,Metropolitan_Area,0.917,0.1731,0.6389,0.4663,76,Medio,0.812371738,0.7706,0.0743,0.2937,0.085
13105,El Bosque,Santiago,Metropolitana,Metropolitan_Area,0.9162,0.1409,0.7226,0.4535,80,Medio,0.877914952,0.7463,0.0958,0.2265,0.052
13106,Estación Central,Santiago,Metropolitana,Metropolitan_Area,0.9071,0.2277,0.7197,0.5298,44,Medio alto,0.765989042,0.6989,0.0581,0.2345,0.139
13107,Huechuraba,Santiago,Metropolitana,Metropolitan_Area,0.9287,0.267,0.7195,0.563,22,Medio alto,0.903510259,0.5806,0.0564,0.2884,0.076
13108,Independencia,Santiago,Metropolitana,Metropolitan_Area,0.9146,0.2308,0.7471,0.5403,36,Medio alto,0.751712763,0.7136,0.085,0.2091,0.056
13109,La Cisterna,Santiago,Metropolitana,Metropolitan_Area,0.8781,0.2436,0.7798,0.5505,30,Medio alto,0.804363997,0.6693,0.066,0.1782,0.188
13110,La Florida,Santiago,Metropolitana,Metropolitan_Area,0.9535,0.2838,0.7545,0.5888,16,Medio alto,0.765537582,0.5928,0.045,0.1899,0.037
13111,La Granja,Santiago,Metropolitana,Metropolitan_Area,0.9359,0.1284,0.6462,0.4266,100,Medio,0.896456007,0.7014,0.0475,0.2191,0.08
13112,La Pintana,Santiago,Metropolitana,Metropolitan_Area,0.8924,0.0842,0.6228,0.3604,175,Medio bajo,0.934021274,0.8303,0.1414,0.3274,0.048
13113,La Reina,Santiago,Metropolitana,Metropolitan_Area,0.97,0.2823,0.8186,0.6074,11,Medio alto,0.756255044,0.3248,0.0099,0.0694,0.051
13114,Las Condes,Santiago,Metropolitana,Metropolitan_Area,0.9926,0.78,0.866,0.8752,2,Alto,0.701891357,0.1168,0.0019,0.0423,0.013
13115,Lo Barnechea,Santiago,Metropolitana,Metropolitan_Area,0.945,0.4029,0.816,0.6773,5,Alto,0.862908259,0.32,0.0284,0.1718,0.068
13116,Lo Espejo,Santiago,Metropolitana,Metropolitan_Area,0.9168,0.1088,0.5995,0.391,133,Medio,0.907811634,0.8178,0.0669,0.375,0.096
13117,Lo Prado,Santiago,Metropolitana,Metropolitan_Area,0.9103,0.1177,0.6231,0.4057,122,Medio,0.844320487,0.7554,0.0578,0.2448,0.124
13118,Macul,Santiago,Metropolitana,Metropolitan_Area,0.9245,0.2374,0.7365,0.5448,33,Medio alto,0.752886836,0.5502,0.0745,0.1347,0.07
13119,Maipú,Santiago,Metropolitana,Metropolitan_Area,0.9695,0.2817,0.7793,0.597,13,Medio alto,0.765520608,0.5839,0.0257,0.1322,0.027
13120,Ñuñoa,Santiago,Metropolitana,Metropolitan_Area,0.9681,0.3601,0.8254,0.6602,7,Alto,0.748343469,0.3736,0.009,0.0576,0.055
13121,Pedro Aguirre Cerda,Santiago,Metropolitana,Metropolitan_Area,0.9207,0.1749,0.6387,0.4685,75,Medio,0.869008841,0.6949,0.0621,0.2676,0.101
13122,Peñalolén,Santiago,Metropolitana,Metropolitan_Area,0.9298,0.2156,0.7421,0.5299,43,Medio alto,0.872001142,0.6412,0.0437,0.2628,0.089
13123,Providencia,Santiago,Metropolitana,Metropolitan_Area,0.9847,0.7764,0.878,0.8756,1,Alto,0.693121693,0.2663,0.0043,0.0338,0.026
13124,Pudahuel,Santiago,Metropolitana,Metropolitan_Area,0.9094,0.2498,0.7401,0.5519,29,Medio alto,0.857092642,0.6505,0.0825,0.2251,0.075
13125,Quilicura,Santiago,Metropolitana,Metropolitan_Area,0.9486,0.2669,0.7574,0.5767,20,Medio alto,0.786617539,0.5601,0.0568,0.1792,0.025
13126,Quinta Normal,Santiago,Metropolitana,Metropolitan_Area,0.938,0.246,0.6731,0.5375,41,Medio alto,0.795033557,0.7023,0.0373,0.2348,0.092
13127,Recoleta,Santiago,Metropolitana,Metropolitan_Area,0.9023,0.2311,0.7463,0.5379,39,Medio alto,0.804904369,0.7384,0.0689,0.225,0.123
13128,Renca,Santiago,Metropolitana,Metropolitan_Area,0.9395,0.1728,0.6734,0.4782,68,Medio,0.875485828,0.6853,0.0373,0.2452,0.08
13129,San Joaquín,Santiago,Metropolitana,Metropolitan_Area,0.9153,0.1849,0.6196,0.4715,72,Medio,0.815093031,0.7516,0.0524,0.211,0.122
13130,San Miguel,Santiago,Metropolitana,Metropolitan_Area,0.9452,0.306,0.7774,0.6081,10,Medio alto,0.740205441,0.5334,0.0485,0.1725,0.057
13131,San Ramón,Santiago,Metropolitana,Metropolitan_Area,0.9345,0.1392,0.6509,0.4392,92,Medio,0.880157845,0.8028,0.046,0.2794,0.078
13132,Vitacura,Santiago,Metropolitana,Metropolitan_Area,0.9946,0.4982,0.9002,0.7641,4,Alto,0.587560163,0.0626,0.0013,0.0348,0.005
13601,Talagante,Talagante,Metropolitana,No_Metropolitan_Area,0.8805,0.1489,0.7949,0.4706,73,Medio,0.836931818,0.6845,0.0371,0.2133,0.095
13602,El Monte,Talagante,Metropolitana,No_Metropolitan_Area,0.8649,0.0854,0.5909,0.3522,188,Medio bajo,0.914556962,0.7685,0.0873,0.3367,0.128
13603,Isla de Maipo,Talagante,Metropolitana,No_Metropolitan_Area,0.8313,0.0907,0.6366,0.3634,169,Medio bajo,0.867647059,0.8028,0.0833,0.2724,0.162
13604,Padre Hurtado,Talagante,Metropolitana,No_Metropolitan_Area,0.8551,0.1419,0.7037,0.4403,91,Medio,0.827453496,0.7537,0.0878,0.2162,0.108
13605,Peñaflor,Talagante,Metropolitana,No_Metropolitan_Area,0.9222,0.1747,0.7078,0.485,64,Medio,0.841463415,0.6899,0.0489,0.1346,0.058